NCBIgeneSymbol,HGNCgeneId,HGNCgeneSymbol,featureType,build37RefSeq,build37Start,build37End,build38RefSeq,build38Start,build38End,name,geneSynonym,chromosome,NCBIgeneId,Oncogene,TSG
CPXCR1,HGNC:2332,CPXCR1,GENE,NC_000023.10,88002225,88009782,NC_000023.11,88747224,88754781,CPX chromosome region candidate 1,CT77,chrX,GeneID:53336,,
CPXM1,HGNC:15771,CPXM1,GENE,NC_000020.10,2774719,2781273,NC_000020.11,2794073,2800627,carboxypeptidase X%2C M14 family member 1,"CPX1,CPXM",chr20,GeneID:56265,,
CPXM2,HGNC:26977,CPXM2,GENE,NC_000010.10,125505154,125651323,NC_000010.11,123745635,123944094,carboxypeptidase X%2C M14 family member 2,"CPX2,UNQ676",chr10,GeneID:119587,,
CPZ,HGNC:2333,CPZ,GENE,NC_000004.11,8594491,8621479,NC_000004.12,8592764,8619752,carboxypeptidase Z,,chr4,GeneID:8532,,
CR1,HGNC:2334,CR1,GENE,NC_000001.10,207669501,207815110,NC_000001.11,207496156,207641765,complement C3b/C4b receptor 1 (Knops blood group),"C3BR,C4BR,CD35,KN",chr1,GeneID:1378,,
CR1L,HGNC:2335,CR1L,GENE,NC_000001.10,207818477,207897048,NC_000001.11,207645132,207723703,complement C3b/C4b receptor 1 like,,chr1,GeneID:1379,,
CR2,HGNC:2336,CR2,GENE,NC_000001.10,207627672,207663237,NC_000001.11,207454327,207489892,complement C3d receptor 2,"C3DR,CD21,CR,CVID7,SLEB9",chr1,GeneID:1380,,
CRABP1,HGNC:2338,CRABP1,GENE,NC_000015.9,78632694,78640567,NC_000015.10,78340352,78348225,cellular retinoic acid binding protein 1,"CRABP,CRABP-I,CRABPI,RBP5",chr15,GeneID:1381,,
CRABP2,HGNC:2339,CRABP2,GENE,NC_000001.10,156669397,156675576,NC_000001.11,156699605,156705784,cellular retinoic acid binding protein 2,"CRABP-II,RBP6",chr1,GeneID:1382,,
CRACD,HGNC:29219,CRACD,GENE,NC_000004.11,57036360,57196890,NC_000004.12,56049097,56330622,capping protein inhibiting regulator of actin dynamics,"CRAD,KIAA1211",chr4,GeneID:57482,,
CRACDL,HGNC:33454,CRACDL,GENE,NC_000002.11,99410308,99552688,NC_000002.12,98793845,98936225,CRACD like,"C2orf55,KIAA1211L",chr2,GeneID:343990,,
CRACR2A,HGNC:28657,CRACR2A,GENE,NC_000012.11,3724493,3862275,NC_000012.12,3613365,3753218,calcium release activated channel regulator 2A,EFCAB4B,chr12,GeneID:84766,,
CRACR2B,HGNC:28703,CRACR2B,GENE,NC_000011.9,827918,831991,NC_000011.10,825557,831991,calcium release activated channel regulator 2B,EFCAB4A,chr11,GeneID:283229,,
CRADD,HGNC:2340,CRADD,GENE,NC_000012.11,94071150,94288616,NC_000012.12,93677341,93894840,CASP2 and RIPK1 domain containing adaptor with death domain,"MRT34,RAIDD",chr12,GeneID:8738,,
CRAMP1,HGNC:14122,CRAMP1,GENE,NC_000016.9,1662360,1727909,NC_000016.10,1612359,1677908,cramped chromatin regulator homolog 1,"CRAMP1L,HN1L,TCE4",chr16,GeneID:57585,,
CRAT,HGNC:2342,CRAT,GENE,NC_000009.11,131857072,131873072,NC_000009.12,129094793,129110793,carnitine O-acetyltransferase,"CAT,CAT1,NBIA8",chr9,GeneID:1384,,
CRB1,HGNC:2343,CRB1,GENE,NC_000001.10,197170633,197447585,NC_000001.11,197201503,197478455,crumbs cell polarity complex component 1,"CRB1-A,CRB1-B,CRB1-C,LCA8,RP12",chr1,GeneID:23418,,
CRB2,HGNC:18688,CRB2,GENE,NC_000009.11,126118475,126142605,NC_000009.12,123354064,123380326,crumbs cell polarity complex component 2,"FSGS9,VMCKD",chr9,GeneID:286204,,
CRB3,HGNC:20237,CRB3,GENE,NC_000019.9,6463787,6467232,NC_000019.10,6463776,6467221,crumbs cell polarity complex component 3,,chr19,GeneID:92359,,
CRBN,HGNC:30185,CRBN,GENE,NC_000003.11,3191316,3221401,NC_000003.12,3148489,3179717,cereblon,"MRT2,MRT2A",chr3,GeneID:51185,,
CRCP,HGNC:17888,CRCP,GENE,NC_000007.13,65579804,65619555,NC_000007.14,66114817,66154568,CGRP receptor component,"C17,CGRP-RCP,CGRPRCP,POLR3I,POLR3J,RCP,RCP9,RPC9",chr7,GeneID:27297,,
CRCT1,HGNC:29875,CRCT1,GENE,NC_000001.10,152486957,152488484,NC_000001.11,152514481,152516010,cysteine rich C-terminal 1,"C1orf42,NICE-1,NICE1",chr1,GeneID:54544,,
CREB1,HGNC:2345,CREB1,GENE,NC_000002.11,208394685,208470712,NC_000002.12,207529942,207605988,cAMP responsive element binding protein 1,"CREB,CREB-1",chr2,GeneID:1385,YES,
CREB3,HGNC:2347,CREB3,GENE,NC_000009.11,35732662,35736996,NC_000009.12,35732665,35736999,cAMP responsive element binding protein 3,"LUMAN,LZIP,sLZIP",chr9,GeneID:10488,,
CREB3L1,HGNC:18856,CREB3L1,GENE,NC_000011.9,46299212,46342959,NC_000011.10,46277660,46321409,cAMP responsive element binding protein 3 like 1,"OASIS,OI16",chr11,GeneID:90993,,
CREB3L2,HGNC:23720,CREB3L2,GENE,NC_000007.13,137559724,137686832,NC_000007.14,137874978,138002086,cAMP responsive element binding protein 3 like 2,BBF2H7,chr7,GeneID:64764,,
CREB3L3,HGNC:18855,CREB3L3,GENE,NC_000019.9,4153627,4173051,NC_000019.10,4153630,4173054,cAMP responsive element binding protein 3 like 3,"CREB-H,CREBH,HYST1481",chr19,GeneID:84699,,
CREB3L4,HGNC:18854,CREB3L4,GENE,NC_000001.10,153940377,153946835,NC_000001.11,153967486,153974364,cAMP responsive element binding protein 3 like 4,"AIBZIP,ATCE1,CREB3,CREB4,hJAL,JAL",chr1,GeneID:148327,,
CREB5,HGNC:16844,CREB5,GENE,NC_000007.13,28338939,28865511,NC_000007.14,28299320,28825894,cAMP responsive element binding protein 5,"CRE-BPA,CREB-5,CREBPA",chr7,GeneID:9586,,
CREBBP,HGNC:2348,CREBBP,GENE,NC_000016.9,3775054,3930714,NC_000016.10,3725053,3880727,CREB binding protein,"CBP,KAT3A,MKHK1,RSTS,RSTS1",chr16,GeneID:1387,,YES
CREBL2,HGNC:2350,CREBL2,GENE,NC_000012.11,12764809,12798042,NC_000012.12,12611875,12645108,cAMP responsive element binding protein like 2,,chr12,GeneID:1389,,YES
CREBRF,HGNC:24050,CREBRF,GENE,NC_000005.9,172483354,172566287,NC_000005.10,173056348,173139284,CREB3 regulatory factor,"C5orf41,LRF",chr5,GeneID:153222,,
CREBZF,HGNC:24905,CREBZF,GENE,NC_000011.9,85369033,85393906,NC_000011.10,85657984,85682863,CREB/ATF bZIP transcription factor,"SMILE,ZF",chr11,GeneID:58487,,
CREG1,HGNC:2351,CREG1,GENE,NC_000001.10,167510249,167522999,NC_000001.11,167541012,167553762,cellular repressor of E1A stimulated genes 1,CREG,chr1,GeneID:8804,,
CREG2,HGNC:14272,CREG2,GENE,NC_000002.11,101962011,102003965,NC_000002.12,101345549,101387970,cellular repressor of E1A stimulated genes 2,,chr2,GeneID:200407,,
CRELD1,HGNC:14630,CRELD1,GENE,NC_000003.11,9975517,9987090,NC_000003.12,9933787,9945406,cysteine rich with EGF like domains 1,"AVSD2,CIRRIN",chr3,GeneID:78987,,
CRELD2,HGNC:28150,CRELD2,GENE,NC_000022.10,50312281,50321185,NC_000022.11,49918633,49927540,cysteine rich with EGF like domains 2,,chr22,GeneID:79174,,
CREM,HGNC:2352,CREM,GENE,NC_000010.10,35415928,35501886,NC_000010.11,35126829,35212958,cAMP responsive element modulator,"CREM-2,hCREM-2,ICER",chr10,GeneID:1390,,
CRH,HGNC:2355,CRH,GENE,NC_000008.10,67088610,67090699,NC_000008.11,66176375,66178464,corticotropin releasing hormone,"CRF,CRH1",chr8,GeneID:1392,,
CRHBP,HGNC:2356,CRHBP,GENE,NC_000005.9,76248869,76265296,NC_000005.10,76952854,76981143,corticotropin releasing hormone binding protein,"CRF-BP,CRFBP",chr5,GeneID:1393,,
CRHR1,HGNC:2357,CRHR1,GENE,NC_000017.10,43861685,43913194,NC_000017.11,45784319,45835828,corticotropin releasing hormone receptor 1,"CRF-R,CRF-R-1,CRF-R1,CRF1,CRFR-1,CRFR1,CRH-R-1,CRH-R1,CRHR,CRHR1L",chr17,GeneID:1394,,
CRHR2,HGNC:2358,CRHR2,GENE,NC_000007.13,30691557,30739719,NC_000007.14,30649405,30700103,corticotropin releasing hormone receptor 2,"CRF-RB,CRF2,CRFR2,HM-CRF",chr7,GeneID:1395,,
CRIM1,HGNC:2359,CRIM1,GENE,NC_000002.11,36582920,36778278,NC_000002.12,36355777,36551135,cysteine rich transmembrane BMP regulator 1,"CRIM-1,S52",chr2,GeneID:51232,,
CRIP1,HGNC:2360,CRIP1,GENE,NC_000014.8,105953222,105955284,NC_000014.9,105486885,105488947,cysteine rich protein 1,"CRHP,CRIP,CRP-1,CRP1",chr14,GeneID:1396,,
CRIP2,HGNC:2361,CRIP2,GENE,NC_000014.8,105939281,105946507,NC_000014.9,105472944,105480170,cysteine rich protein 2,"CRIP,CRP2,ESP1",chr14,GeneID:1397,,
CRIP3,HGNC:17751,CRIP3,GENE,NC_000006.11,43273209,43276564,NC_000006.12,43305471,43308826,cysteine rich protein 3,"CRP-3,h6LIMo,TLP,TLP-A",chr6,GeneID:401262,,
CRIPT,HGNC:14312,CRIPT,GENE,NC_000002.11,46844353,46857315,NC_000002.12,46617214,46630176,CXXC repeat containing interactor of PDZ3 domain,"HSPC139,SSMDF",chr2,GeneID:9419,,
CRISP1,HGNC:304,CRISP1,GENE,NC_000006.11,49801969,49844809,NC_000006.12,49833938,49877096,cysteine rich secretory protein 1,"AEGL1,ARP,CRISP-1,HEL-S-57,HSCRISP1D,HSCRISP1G,HUMARP",chr6,GeneID:167,,
CRISP2,HGNC:12024,CRISP2,GENE,NC_000006.11,49660071,49681256,NC_000006.12,49676664,49714198,cysteine rich secretory protein 2,"CRISP-2,CT36,GAPDL5,TPX1,TSP1",chr6,GeneID:7180,,
CRISP3,HGNC:16904,CRISP3,GENE,NC_000006.11,49695088,49712101,NC_000006.12,49727375,49744388,cysteine rich secretory protein 3,"Aeg2,CRISP-3,CRS3,dJ442L6.3,SGP28",chr6,GeneID:10321,,
CRISPLD1,HGNC:18206,CRISPLD1,GENE,NC_000008.10,75896739,75946793,NC_000008.11,74984504,75034558,cysteine rich secretory protein LCCL domain containing 1,"CRISP-10,CRISP10,LCRISP1",chr8,GeneID:83690,,
CRISPLD2,HGNC:25248,CRISPLD2,GENE,NC_000016.9,84853590,84943114,NC_000016.10,84819980,84909510,cysteine rich secretory protein LCCL domain containing 2,"CRISP11,LCRISP2,LGL1",chr16,GeneID:83716,,
CRK,HGNC:2362,CRK,GENE,NC_000017.10,1323986,1359526,NC_000017.11,1420692,1456232,CRK proto-oncogene%2C adaptor protein,"CRKII,p38",chr17,GeneID:1398,YES,
CRKL,HGNC:2363,CRKL,GENE,NC_000022.10,21271694,21308035,NC_000022.11,20917406,20953747,CRK like proto-oncogene%2C adaptor protein,,chr22,GeneID:1399,YES,
CRLF1,HGNC:2364,CRLF1,GENE,NC_000019.9,18704046,18717609,NC_000019.10,18593236,18606799,cytokine receptor like factor 1,"CISS,CISS1,CLF,CLF-1,NR6,zcytor5",chr19,GeneID:9244,,
CRLF2,HGNC:14281,CRLF2,GENE,NC_000023.10,1314868,1331542,NC_000023.11,1190436,1212762,cytokine receptor like factor 2,"CRL2,CRLF2Y,TSLPR",chrX,GeneID:64109,YES,
CRLF2-2,HGNC:14281,CRLF2,GENE,NC_000024.9,1264868,1281542,NC_000024.10,1190436,1212762,cytokine receptor like factor 2,"CRL2,CRLF2Y,TSLPR",chrY,GeneID:64109,YES,
CRLF3,HGNC:17177,CRLF3,GENE,NC_000017.10,29109701,29151710,NC_000017.11,30782683,30824692,cytokine receptor like factor 3,"CREME-9,CREME9,CRLM9,CYTOR4,FRWS,p48.2",chr17,GeneID:51379,,
CRLS1,HGNC:16148,CRLS1,GENE,NC_000020.10,5986583,6020699,NC_000020.11,6005937,6040053,cardiolipin synthase 1,"C20orf155,CLS,CLS1,dJ967N21.6,GCD10",chr20,GeneID:54675,,
CRMP1,HGNC:2365,CRMP1,GENE,NC_000004.11,5822490,5894813,NC_000004.12,5820763,5893086,collapsin response mediator protein 1,"CRMP-1,DPYSL1,DRP-1,DRP1,ULIP-3",chr4,GeneID:1400,,
CRNDE,HGNC:37078,CRNDE,GENE,NC_000016.9,54952774,54962798,,0,0,colorectal neoplasia differentially expressed,"CRNDEP,LINC00180,lincIRX5,NCRNA00180,PNAS-108",chr16,GeneID:643911,,
CRNKL1,HGNC:15762,CRNKL1,GENE,NC_000020.10,20015011,20036690,NC_000020.11,20034367,20056046,crooked neck pre-mRNA splicing factor 1,"CLF,Clf1,CRN,HCRN,MSTP021,SYF3",chr20,GeneID:51340,,
CRNN,HGNC:1230,CRNN,GENE,NC_000001.10,152381718,152386739,NC_000001.11,152409242,152414263,cornulin,"C1orf10,DRC1,PDRC1,SEP53",chr1,GeneID:49860,,
CROCC,HGNC:21299,CROCC,GENE,NC_000001.10,17248425,17299459,NC_000001.11,16914081,16972979,ciliary rootlet coiled-coil%2C rootletin,"ROLT,TAX1BP2",chr1,GeneID:9696,,
CROCC2,HGNC:51677,CROCC2,GENE,NC_000002.11,241845752,241932728,NC_000002.12,240906159,240993311,ciliary rootlet coiled-coil%2C rootletin family member 2,,chr2,GeneID:728763,,
CROT,HGNC:2366,CROT,GENE,NC_000007.13,86974979,87029110,NC_000007.14,87345645,87399794,carnitine O-octanoyltransferase,COT,chr7,GeneID:54677,YES,
CRP,HGNC:2367,CRP,GENE,NC_000001.10,159682078,159684379,NC_000001.11,159712288,159714589,C-reactive protein,PTX1,chr1,GeneID:1401,,
CRPPA,HGNC:37276,CRPPA,GENE,NC_000007.13,16127149,16461163,NC_000007.14,16087524,16421538,CDP-L-ribitol pyrophosphorylase A,"hISPD,ISPD,LGMDR20,MDDGA7,MDDGC7,Nip",chr7,GeneID:729920,,
CRTAC1,HGNC:14882,CRTAC1,GENE,NC_000010.10,99624756,99790378,NC_000010.11,97854710,98030621,cartilage acidic protein 1,"ASPIC,ASPIC1,CEP-68,CEP68,LOTUS",chr10,GeneID:55118,,
CRTAM,HGNC:24313,CRTAM,GENE,NC_000011.9,122709207,122743351,NC_000011.10,122838418,122872643,cytotoxic and regulatory T cell molecule,CD355,chr11,GeneID:56253,,
CRTAP,HGNC:2379,CRTAP,GENE,NC_000003.11,33155505,33189265,NC_000003.12,33114013,33147773,cartilage associated protein,"CASP,LEPREL3,OI7,P3H5",chr3,GeneID:10491,,
CRTC1,HGNC:16062,CRTC1,GENE,NC_000019.9,18794489,18893143,NC_000019.10,18683620,18782333,CREB regulated transcription coactivator 1,"Mam-2,MAML2,MECT1,TORC-1,TORC1,WAMTP1",chr19,GeneID:23373,YES,
CRTC2,HGNC:27301,CRTC2,GENE,NC_000001.10,153920150,153931088,NC_000001.11,153947674,153958643,CREB regulated transcription coactivator 2,"TORC-2,TORC2",chr1,GeneID:200186,,
CRTC3,HGNC:26148,CRTC3,GENE,NC_000015.9,91073154,91188577,NC_000015.10,90529914,90645345,CREB regulated transcription coactivator 3,"TORC-3,TORC3",chr15,GeneID:64784,,
CRX,HGNC:2383,CRX,GENE,NC_000019.9,48325193,48346581,NC_000019.10,47821936,47843324,cone-rod homeobox,"CORD2,CRD,LCA7,OTX3",chr19,GeneID:1406,,
CRY1,HGNC:2384,CRY1,GENE,NC_000012.11,107385141,107487327,NC_000012.12,106991363,107093872,cryptochrome circadian regulator 1,"DSPD,PHLL1",chr12,GeneID:1407,,
CRY2,HGNC:2385,CRY2,GENE,NC_000011.9,45868668,45904795,NC_000011.10,45847117,45883244,cryptochrome circadian regulator 2,"HCRY2,PHLL2",chr11,GeneID:1408,,
CRYAA,HGNC:2388,CRYAA,GENE,NC_000021.8,44589117,44592920,NC_000021.9,43169007,43172810,crystallin alpha A,"CRYA1,CTRCT9,HSPB4",chr21,GeneID:1409,,
CRYAA2,HGNC:51901,CRYAA2,GENE,,0,0,NC_000021.9,6499202,6564489,crystallin alpha A2,CRYAA,chr21,GeneID:102724652,,
CRYAB,HGNC:2389,CRYAB,GENE,NC_000011.9,111779287,111794464,NC_000011.10,111908563,111923740,crystallin alpha B,"CMD1II,CRYA2,CTPP2,CTRCT16,HEL-S-101,HSPB5,MFM2",chr11,GeneID:1410,YES,
CRYBA1,HGNC:2394,CRYBA1,GENE,NC_000017.10,27573876,27581512,NC_000017.11,29246858,29254494,crystallin beta A1,"CRYB1,CTRCT10",chr17,GeneID:1411,,
CRYBA2,HGNC:2395,CRYBA2,GENE,NC_000002.11,219854911,219858144,NC_000002.12,218990189,218993422,crystallin beta A2,CTRCT42,chr2,GeneID:1412,,
CRYBA4,HGNC:2396,CRYBA4,GENE,NC_000022.10,27017926,27026633,NC_000022.11,26607981,26630672,crystallin beta A4,"CTRCT23,CYRBA4,MCOPCT4",chr22,GeneID:1413,,
CRYBB1,HGNC:2397,CRYBB1,GENE,NC_000022.10,26995241,27013991,NC_000022.11,26599277,26618104,crystallin beta B1,"CATCN3,CTRCT17",chr22,GeneID:1414,,
CRYBB2,HGNC:2398,CRYBB2,GENE,NC_000022.10,25615605,25627836,NC_000022.11,25211659,25231869,crystallin beta B2,"CCA2,CRYB2,CRYB2A,CTRCT3,D22S665",chr22,GeneID:1415,,
CRYBB3,HGNC:2400,CRYBB3,GENE,NC_000022.10,25595824,25603326,NC_000022.11,25194243,25207617,crystallin beta B3,"CATCN2,CRYB3,CTRCT22",chr22,GeneID:1417,,
CRYBG1,HGNC:356,CRYBG1,GENE,NC_000006.11,106808591,107019892,NC_000006.12,106360716,106572017,crystallin beta-gamma domain containing 1,"AIM1,ST4",chr6,GeneID:202,,
CRYBG2,HGNC:17295,CRYBG2,GENE,NC_000001.10,26648355,26680621,NC_000001.11,26321859,26354130,crystallin beta-gamma domain containing 2,AIM1L,chr1,GeneID:55057,,
CRYBG3,HGNC:34427,CRYBG3,GENE,NC_000003.11,97540854,97663828,NC_000003.12,97821692,97944984,crystallin beta-gamma domain containing 3,"DKFZp667G2110,vlAKAP",chr3,GeneID:131544,,
CRYGA,HGNC:2408,CRYGA,GENE,NC_000002.11,209025463,209028313,NC_000002.12,208160739,208163589,crystallin gamma A,"CRY-g-A,CRYG1,CRYG5",chr2,GeneID:1418,,
CRYGB,HGNC:2409,CRYGB,GENE,NC_000002.11,209007296,209010882,NC_000002.12,208142572,208146327,crystallin gamma B,"CRYG2,CTRCT39",chr2,GeneID:1419,,
CRYGC,HGNC:2410,CRYGC,GENE,NC_000002.11,208992860,208994552,NC_000002.12,208128136,208139100,crystallin gamma C,"CCL,CRYG3,CTRCT2",chr2,GeneID:1420,,
CRYGD,HGNC:2411,CRYGD,GENE,NC_000002.11,208986330,208989248,NC_000002.12,208121606,208124524,crystallin gamma D,"CACA,CCA3,CCP,cry-g-D,CRYG4,CTRCT4,PCC",chr2,GeneID:1421,,
CRYGN,HGNC:20458,CRYGN,GENE,NC_000007.13,151125917,151137899,NC_000007.14,151428831,151448790,crystallin gamma N,,chr7,GeneID:155051,,
CRYGS,HGNC:2417,CRYGS,GENE,NC_000003.11,186256231,186262169,NC_000003.12,186538442,186544380,crystallin gamma S,"CRYG8,CTRCT20",chr3,GeneID:1427,,
CRYL1,HGNC:18246,CRYL1,GENE,NC_000013.10,20977807,21099996,NC_000013.11,20403668,20525857,crystallin lambda 1,"GDH,gul3DH,HEL30,lambda-CRY",chr13,GeneID:51084,,
CRYM,HGNC:2418,CRYM,GENE,NC_000016.9,21269841,21314383,NC_000016.10,21258520,21303062,crystallin mu,"DFNA40,THBP",chr16,GeneID:1428,,
CRYZ,HGNC:2419,CRYZ,GENE,NC_000001.10,75171169,75198734,NC_000001.11,74705469,74733115,crystallin zeta,,chr1,GeneID:1429,,
CRYZL1,HGNC:2420,CRYZL1,GENE,NC_000021.8,34961646,35014047,NC_000021.9,33589340,33641741,crystallin zeta like 1,"4P11,QOH-1",chr21,GeneID:9946,,
CRYZL2P-SEC16B,HGNC:53757,CRYZL2P-SEC16B,GENE,NC_000001.10,177897922,178007111,NC_000001.11,177928787,178037976,CRYZL2P-SEC16B readthrough,,chr1,GeneID:111240474,,
CS,HGNC:2422,CS,GENE,NC_000012.11,56665482,56694114,NC_000012.12,56271698,56300330,citrate synthase,,chr12,GeneID:1431,,
CSAD,HGNC:18966,CSAD,GENE,NC_000012.11,53551446,53574709,NC_000012.12,53157662,53181663,cysteine sulfinic acid decarboxylase,"CSD,PCAP",chr12,GeneID:51380,,
CSAG1,HGNC:24294,CSAG1,GENE,NC_000023.10,151903241,151909518,NC_000023.11,152727483,152733721,chondrosarcoma associated gene 1,"CSAGE,CT24.1",chrX,GeneID:158511,,
CSAG3,HGNC:26237,CSAG3,GENE,,0,0,NC_000023.11,152753920,152760219,CSAG family member 3,"CSAG3A,CT24.2",chrX,GeneID:389903,,
CSDC2,HGNC:30359,CSDC2,GENE,NC_000022.10,41957013,41972670,NC_000022.11,41561009,41576666,cold shock domain containing C2,"dJ347H13.2,PIPPIN",chr22,GeneID:27254,,
CSDE1,HGNC:29905,CSDE1,GENE,NC_000001.10,115259536,115300605,NC_000001.11,114716915,114757984,cold shock domain containing E1,"D1S155E,UNR",chr1,GeneID:7812,,
CSE1L,HGNC:2431,CSE1L,GENE,NC_000020.10,47662848,47713486,NC_000020.11,49046311,49096949,chromosome segregation 1 like,"CAS,CSE1,XPO2",chr20,GeneID:1434,,
CSF1,HGNC:2432,CSF1,GENE,NC_000001.10,110453470,110473614,NC_000001.11,109910505,109930992,colony stimulating factor 1,"CSF-1,MCSF",chr1,GeneID:1435,YES,
CSF1R,HGNC:2433,CSF1R,GENE,NC_000005.9,149432857,149492928,NC_000005.10,150053294,150113365,colony stimulating factor 1 receptor,"BANDDOS,C-FMS,CD115,CSF-1R,CSFR,FIM2,FMS,HDLS,M-CSF-R",chr5,GeneID:1436,YES,
CSF2,HGNC:2434,CSF2,GENE,NC_000005.9,131409481,131411863,NC_000005.10,132073788,132076170,colony stimulating factor 2,"CSF,GMCSF",chr5,GeneID:1437,,
CSF2RA,HGNC:2435,CSF2RA,GENE,NC_000023.10,1387706,1444111,NC_000023.11,1268813,1325218,colony stimulating factor 2 receptor subunit alpha,"alphaGMR,CD116,CDw116,CSF2R,CSF2RAX,CSF2RAY,CSF2RX,CSF2R",chrX,GeneID:1438,,
CSF2RA-2,HGNC:2435,CSF2RA,GENE,NC_000024.9,1337706,1394111,NC_000024.10,1268813,1325218,colony stimulating factor 2 receptor subunit alpha,"alphaGMR,CD116,CDw116,CSF2R,CSF2RAX,CSF2RAY,CSF2RX,CSF",chrY,GeneID:1438,,
CSF2RB,HGNC:2436,CSF2RB,GENE,NC_000022.10,37309669,37336481,NC_000022.11,36913573,36940449,colony stimulating factor 2 receptor subunit beta,"betaGMR,CD131,CDw131,IL3RB,IL5RB,SMDP5",chr22,GeneID:1439,,
CSF3,HGNC:2438,CSF3,GENE,NC_000017.10,38171692,38174066,NC_000017.11,40015439,40017813,colony stimulating factor 3,"C17orf33,CSF3OS,GCSF",chr17,GeneID:1440,YES,
CSF3R,HGNC:2439,CSF3R,GENE,NC_000001.10,36931643,36948915,NC_000001.11,36466042,36483314,colony stimulating factor 3 receptor,"CD114,GCSFR,SCN7",chr1,GeneID:1441,YES,
CSGALNACT1,HGNC:24290,CSGALNACT1,GENE,NC_000008.10,19261671,19615419,NC_000008.11,19404160,19757908,chondroitin sulfate N-acetylgalactosaminyltransferase 1,"beta4GalNAcT,ChGn,ChGn-1,CSGalNAcT-1,",chr8,GeneID:55790,,
CSGALNACT2,HGNC:24292,CSGALNACT2,GENE,NC_000010.10,43633892,43680756,NC_000010.11,43138444,43185308,chondroitin sulfate N-acetylgalactosaminyltransferase 2,"beta4GalNAcT,ChGn-2,CHGN2,GALNACT-2,G",chr10,GeneID:55454,,
CSH1,HGNC:2440,CSH1,GENE,NC_000017.10,61972277,61973934,NC_000017.11,63894917,63896574,chorionic somatomammotropin hormone 1,"CS-1,CSA,CSMT,GHB3,hCS-1,hCS-A,PL",chr17,GeneID:1442,,
CSH2,HGNC:2441,CSH2,GENE,NC_000017.10,61949371,61951089,NC_000017.11,63872011,63873729,chorionic somatomammotropin hormone 2,"CS-2,CSB,GHB1,hCS-B,PL",chr17,GeneID:1443,,
CSHL1,HGNC:2442,CSHL1,GENE,NC_000017.10,61986967,61988618,NC_000017.11,63909601,63911280,chorionic somatomammotropin hormone like 1,"CS-5,CSHP1,CSL,GHB4,hCS-L",chr17,GeneID:1444,,
CSK,HGNC:2444,CSK,GENE,NC_000015.9,75074420,75095538,NC_000015.10,74782079,74803197,C-terminal Src kinase,,chr15,GeneID:1445,,
CSKMT,HGNC:33113,CSKMT,GENE,NC_000011.9,62432783,62435580,NC_000011.10,62665252,62668108,citrate synthase lysine methyltransferase,"CS-KMT,METTL12,U99HG",chr11,GeneID:751071,,
CSMD1,HGNC:14026,CSMD1,GENE,NC_000008.10,2792882,4852436,NC_000008.11,2935352,4995035,CUB and Sushi multiple domains 1,PPP1R24,chr8,GeneID:64478,,
CSMD2,HGNC:19290,CSMD2,GENE,NC_000001.10,33979597,34631443,NC_000001.11,33513997,34165842,CUB and Sushi multiple domains 2,"dJ1007G16.1,dJ1007G16.2,dJ947L8.1",chr1,GeneID:114784,,
CSMD3,HGNC:19291,CSMD3,GENE,NC_000008.10,113235156,114449168,NC_000008.11,112222927,113437499,CUB and Sushi multiple domains 3,,chr8,GeneID:114788,,
CSN1S1,HGNC:2445,CSN1S1,GENE,NC_000004.11,70796785,70812292,NC_000004.12,69931061,69946574,casein alpha s1,"CASA,CSN1",chr4,GeneID:1446,,
CSN2,HGNC:2447,CSN2,GENE,NC_000004.11,70820973,70831446,NC_000004.12,69955255,69965728,casein beta,"CASB,PDC213",chr4,GeneID:1447,,
CSN3,HGNC:2446,CSN3,GENE,NC_000004.11,71104097,71117149,NC_000004.12,70238380,70251432,casein kappa,"CNS10,CSN10,CSNK,KCA",chr4,GeneID:1448,,
CSNK1A1,HGNC:2451,CSNK1A1,GENE,NC_000005.9,148872544,148931002,NC_000005.10,149492981,149551439,casein kinase 1 alpha 1,"CK1,CK1a,CKIa,HEL-S-77p,HLCDGP1,PRO2975",chr5,GeneID:1452,,
CSNK1A1L,HGNC:20289,CSNK1A1L,GENE,NC_000013.10,37677395,37679801,NC_000013.11,37103258,37105664,casein kinase 1 alpha 1 like,CK1,chr13,GeneID:122011,,
CSNK1D,HGNC:2452,CSNK1D,GENE,NC_000017.10,80196894,80231626,NC_000017.11,82239018,82273750,casein kinase 1 delta,"ASPS,CKI-delta,CKId,CKIdelta,FASPS2,HCKID",chr17,GeneID:1453,,
CSNK1E,HGNC:2453,CSNK1E,GENE,NC_000022.10,38686696,38714089,NC_000022.11,38290690,38318084,casein kinase 1 epsilon,"CKIe,CKIepsilon,HCKIE",chr22,GeneID:1454,,
CSNK1G1,HGNC:2454,CSNK1G1,GENE,NC_000015.9,64457723,64648372,NC_000015.10,64165524,64356173,casein kinase 1 gamma 1,CK1gamma1,chr15,GeneID:53944,,
CSNK1G2,HGNC:2455,CSNK1G2,GENE,NC_000019.9,1941170,1981337,NC_000019.10,1941148,1981338,casein kinase 1 gamma 2,CK1g2,chr19,GeneID:1455,,
CSNK1G3,HGNC:2456,CSNK1G3,GENE,NC_000005.9,122847870,122952743,NC_000005.10,123512115,123617049,casein kinase 1 gamma 3,"CKI-gamma 3,CSNK1G3L",chr5,GeneID:1456,,
